id,citation,topic,method,key_use,quality,doi_or_id,verification_url,status
L01,姜富伟、胡逸驰、黄楠（2021）：《央行货币政策报告文本信息、宏观经济与股票市场》，《金融研究》第6期。,中国央行报告文本、宏观经济与股票市场,金融情感词典、文本相似度、可读性与资产价格实证,直接支持使用《中国货币政策执行报告》构造文本指标。,核心中文期刊；与本项目主题高度匹配。,,https://www.jryj.org.cn/CN/abstract/abstract897.shtml,verified_publisher_page
L02,董青马、张皓越、马剑文、尚玉皇（2024）：《央行沟通与资产价格——识别“潜在”未预期货币政策信息》，《金融研究》2024年第6期。,央行沟通、未预期信息与资产价格,事件研究、潜在因子、资产价格反应,说明沟通冲击不能只看显性政策操作。,核心中文期刊；近期中国证据。,,https://www.jryj.org.cn/CN/abstract/abstract1334.shtml,verified_publisher_page
L03,尚玉皇、刘华、申峰（2025）：《预期的博弈：央行沟通与国债收益率曲线》，《金融研究》2025年第9期。,央行沟通与国债收益率曲线,央行沟通情绪指数、收益率曲线反应,直接支持以国债收益率曲线作为主要市场反应。,核心中文期刊；与主检验最接近。,,https://www.jryj.org.cn/CN/abstract/abstract1520.shtml,verified_publisher_page
L04,"McMahon, M., Schipke, A., & Li, X. (2018). China's Monetary Policy Communication: Frameworks, Impact, and Recommendations. IMF Working Paper 2018/244.",中国货币政策沟通制度与金融市场影响,制度梳理与金融市场实证,提供中国央行沟通框架和研究背景。,IMF Working Paper；有 DOI。,10.5089/9781484385647.001,https://www.imf.org/en/publications/wp/issues/2018/11/17/chinas-monetary-policy-communication-frameworks-impact-and-recommendations-46375,verified_imf_page
L05,"Blinder, A. S., Ehrmann, M., Fratzscher, M., de Haan, J., & Jansen, D. (2008). Central Bank Communication and Monetary Policy: A Survey of Theory and Evidence. Journal of Economic Literature, 46(4), 910-945.",央行沟通综述,理论与经验证据综述,文献综述基准，说明沟通可影响金融市场和政策可预期性。,Journal of Economic Literature。,10.1257/jel.46.4.910,https://www.aeaweb.org/articles?id=10.1257%2Fjel.46.4.910,verified_publisher_page
L06,"Gurkaynak, R. S., Sack, B., & Swanson, E. T. (2005). Do Actions Speak Louder Than Words? The Response of Asset Prices to Monetary Policy Actions and Statements. International Journal of Central Banking, 1(1), 55-93.",政策行动与声明的资产价格效应,高频事件研究、目标因子与路径因子分解,支持将政策沟通与实际政策操作区分。,货币政策事件研究经典文献。,,https://www.ijcb.org/journal/v1n1/do-actions-speak-louder-words-response-asset-prices-monetary-policy-actions-and,verified_journal_page
L07,"Kuttner, K. N. (2001). Monetary Policy Surprises and Interest Rates: Evidence from the Fed Funds Futures Market. Journal of Monetary Economics, 47(3), 523-544.",未预期货币政策与利率反应,期货市场识别预期与非预期政策变化,支持关注未预期成分和收益率响应。,Journal of Monetary Economics。,10.1016/S0304-3932(01)00055-1,https://ideas.repec.org/a/eee/moneco/v47y2001i3p523-544.html,verified_repec_page
L08,"Hansen, S., & McMahon, M. (2016). Shocking Language: Understanding the Macroeconomic Effects of Central Bank Communication. Journal of International Economics, 99, S114-S133.",FOMC 沟通文本的多维冲击,计算语言学、FAVAR,支持将经济回顾与政策指引分开度量。,Journal of International Economics。,10.1016/j.jinteco.2015.12.008,https://wrap.warwick.ac.uk/id/eprint/85615/,verified_repository_page
L09,"Nakamura, E., & Steinsson, J. (2018). High-Frequency Identification of Monetary Non-Neutrality: The Information Effect. Quarterly Journal of Economics, 133(3), 1283-1330.",央行信息效应与高频识别,公告窗口内利率、通胀预期和产出预期反应,提醒央行沟通可能同时传递经济前景信息。,Quarterly Journal of Economics。,10.1093/qje/qjy004,https://academic.oup.com/qje/article-abstract/133/3/1283/4828341,verified_publisher_page
L10,"Jarocinski, M., & Karadi, P. (2020). Deconstructing Monetary Policy Surprises: The Role of Information Shocks. American Economic Journal: Macroeconomics, 12(2), 1-43.",货币政策惊奇与央行信息冲击,高频利率与股票价格共同运动识别,支持区分政策收紧与央行信息冲击。,American Economic Journal: Macroeconomics。,10.1257/mac.20180090,https://www.aeaweb.org/articles?id=10.1257%2Fmac.20180090,verified_publisher_page
L11,"Hansen, S., McMahon, M., & Tong, M. (2019). The Long-Run Information Effect of Central Bank Communication. Journal of Monetary Economics, 108, 185-202.",央行沟通对长期利率的信息效应,英国通胀报告文本信号与收益率期限结构,支持研究沟通对长期收益率和期限溢价的影响。,Journal of Monetary Economics。,10.1016/j.jmoneco.2019.08.002,https://ideas.repec.org/a/eee/moneco/v108y2019icp185-202.html,verified_repec_page
L12,"Altavilla, C., Brugnolini, L., Gurkaynak, R. S., Motto, R., & Ragusa, G. (2019). Measuring Euro Area Monetary Policy. Journal of Monetary Economics, 108, 162-179.",欧元区货币政策事件研究数据库,日内事件窗口、政策沟通阶段分解,支持按市场日历和公告窗口严谨对齐。,Journal of Monetary Economics；公开 EA-MPD 数据库。,10.1016/j.jmoneco.2019.08.016,https://ideas.repec.org/a/eee/moneco/v108y2019icp162-179.html,verified_repec_page
